smiles,smilesid,docking_score
COC(=O)C(CN1CCc2ccccc21)NC(=O)Cc1ccc2c(c1)CNCC2,S121,-8.55928
CCc1ccc(O)c(C(=O)N[C@H]2CC[C@@H](NC(=O)CC3CCC3(C)C)CC2)c1,S122,-7.24553
N[C@@H]1[C@@H]2C[C@H](O)[C@H]1N(c1ccnc(CO)c1)C2,S127,-6.98287
Cc1c[nH]c(C(=O)O)c1C(=O)NCc1nc(C(F)(F)F)nn1C,S126,-7.49997
CC(=O)N1CCC(Nc2ncnc(Nc3ccccc3)c2N)C1,S124,-7.99235
CO[C@H]1C[C@@H]1C(=O)N(C)C1CCN(C(=O)C2(Oc3cnn(C)c3)CC2)CC1,S123,-6.99395
O=C1CCCCN1C1CCCN(C(=O)C(F)(F)c2cccc(F)c2F)C1,S129,-9.75981
CC1COCCN1S(=O)(=O)NCc1cscc1C(F)(F)F,S131,-7.57867
COC(=O)C1(C(C)C)CCN(S(=O)(=O)c2cn(C)nn2)C1,S130,-5.5
COC(=O)c1ccc(C(=O)NC2(C(F)(F)F)CCSCC2)cc1Cl,S128,-9.24973
CC(C)S(=O)(=O)NCC1CCCN(C(=O)C(OC(C)(C)C)C(C)(C)C)C1,S132,-7.20876
Cc1cccc(CN(CCO)C(=O)c2cn(CCN(C)C)nn2)c1,S133,-7.69433
COc1cc(CC(=O)NCC2(OC3CCCC3)CCCCC2)ncn1,S135,-7.28457
O=C(N[C@]12C[C@H]1CN(C(=O)c1c[nH]nn1)C2)c1cccc(Cl)c1C(F)F,S136,-8.84994
COC(=O)c1ccnc2c1CN(C(=O)c1cccc3ccc(OC)cc13)C2,S134,-9.10516
COCC1(CN(C)CC23CCOC(C)(C2)C3)CCCC1,S142,-5.51026
COC(=O)CCc1ccc(CN2CCCC2c2ccnc(C)c2)cc1,S140,-8.71452
CN(C)C(=O)c1nn(C)cc1NC(=O)NC1CC2COCC(C1)C2(F)F,S139,-7.08389
